 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  24.61753	 -3.63858	  50.84079	  51.32475
 1	  24.29123	 -3.62617	  51.76101	  52.24468
 2	  23.68284	 -1.4014	  50.94704	  51.43097
 3	  23.68284	 -1.4014	  50.94704	  51.43097
 4	  24.29123	 -3.62617	  51.76101	  52.24468
 5	  23.45296	 -1.39266	  51.59535	  52.07907
 6	  21.63404	  11.06244	  51.12293	  51.6068
 7	  18.47757	  8.26642	  51.21864	  51.70248
 8	  18.85659	  7.77011	  50.87918	  51.36313
 9	  18.97666	  6.59597	  51.32803	  51.81184
 10	  18.51461	  7.91977	  51.31482	  51.79863
 11	  21.76757	  9.87088	  51.56433	  52.04806
 12	  20.01068	  10.67649	  52.15311	  52.63666
 13	  20.76535	  11.73804	  51.96305	  52.44666
 14	  20.60519	  11.63925	  52.22565	  52.70917
 15	  20.76535	  11.73804	  51.96305	  52.44666
 16	  20.77503	  11.22261	  52.19414	  52.67767
 17	  20.60519	  11.63925	  52.22565	  52.70917
 18	  19.89894	  10.75029	  51.61168	  52.0954
 19	  20.97441	  11.71007	  51.71758	  52.20126
 20	  19.93391	  10.75423	  51.88881	  52.37244
 21	  20.10182	  10.37886	  51.64866	  52.13236
 22	  19.93391	  10.75423	  51.88881	  52.37244
 23	  20.97441	  11.71007	  51.71758	  52.20126
 24	  26.41154	  1.67153	  51.20141	  51.68525
 25	  26.36907	  2.20296	  51.02733	  51.51123
 26	  26.22583	  1.32738	  51.12837	  51.61224
 27	  26.41154	  1.67153	  51.20141	  51.68525
 28	  26.01044	  2.677	  51.28346	  51.76728
 29	  25.98428	  3.00437	  51.17623	  51.66008
 27	  26.41154	  1.67153	  51.20141	  51.68525
 29	  25.98428	  3.00437	  51.17623	  51.66008
 30	  26.36907	  2.20296	  51.02733	  51.51123
 31	  21.05398	  4.28569	  51.40432	  51.8881
 32	  20.52409	  5.47673	  51.59457	  52.07829
 33	  23.88607	  7.41933	  51.66016	  52.14386
 34	  21.2674	  4.16956	  51.16016	  51.64402
 35	  24.09811	  7.29605	  51.42081	  51.90459
 36	  24.30384	  7.30745	  51.15773	  51.64159
 37	  23.29188	  8.80769	  51.84918	  52.33282
 38	  20.52409	  5.47673	  51.59457	  52.07829
 39	  23.19218	  9.55348	  51.50135	  51.9851
 40	  23.19218	  9.55348	  51.50135	  51.9851
 41	  20.52409	  5.47673	  51.59457	  52.07829
 42	  20.36148	  6.42698	  51.2407	  51.72454
 43	  25.42405	  0.57336	  51.09941	  51.58329
 44	  25.35183	  0.28441	  51.29313	  51.77694
 45	  25.80522	  0.36139	  51.32706	  51.81087
 46	  25.30739	  0.62283	  51.73714	  52.22082
 47	  24.93823	  1.1786	  51.89262	  52.37625
 48	  25.46683	  1.44351	  51.86779	  52.35142
 49	  25.46683	  1.44351	  51.86779	  52.35142
 50	  26.00147	  0.78089	  51.5831	  52.06682
 51	  25.30739	  0.62283	  51.73714	  52.22082
 52	  25.60613	  0.34123	  51.54226	  52.026
 53	  26.00147	  0.78089	  51.5831	  52.06682
 54	  25.80522	  0.36139	  51.32706	  51.81087
 55	  25.80522	  0.36139	  51.32706	  51.81087
 56	  26.22583	  1.32738	  51.12837	  51.61224
 57	  25.88518	  0.68128	  51.1126	  51.59647
 58	  24.23797	  5.66886	  50.77664	  51.26062
 59	  24.16458	  6.75814	  51.03791	  51.52181
 60	  23.86882	  6.22462	  50.93212	  51.41605
 61	  24.64833	  7.57507	  51.45892	  51.94268
 62	  24.24512	  6.92529	  51.29581	  51.77963
 63	  25.23503	  6.85616	  50.97541	  51.45932
 64	  27.9932	 -9.28627	  51.80215	  52.28581
 65	  29.68775	 -13.47682	  51.91296	  52.39658
 66	  29.30614	 -13.99931	  51.7806	  52.26426
 67	  25.28809	  5.47605	  50.80686	  51.29082
 68	  25.3184	  5.02059	  51.04042	  51.52431
 69	  25.09393	  5.45211	  51.09653	  51.58041
 67	  25.28809	  5.47605	  50.80686	  51.29082
 69	  25.09393	  5.45211	  51.09653	  51.58041
 70	  24.9237	  6.17657	  50.89796	  51.3819
 71	  30.46383	 -12.61171	  51.88443	  52.36806
 72	  28.88392	 -8.30952	  51.74505	  52.22872
 73	  30.82811	 -12.30207	  51.72564	  52.20932
 74	  23.36473	 -5.07833	  50.78584	  51.26981
 75	  22.43004	 -2.84116	  50.89209	  51.37603
 76	  23.03843	 -5.06592	  51.70606	  52.18974
 77	  22.43004	 -2.84116	  50.89209	  51.37603
 78	  22.20016	 -2.83241	  51.5404	  52.02413
 79	  23.03843	 -5.06592	  51.70606	  52.18974
 80	  23.84465	  2.5535	  51.92792	  52.41153
 81	  21.54564	 -0.00321	  51.69046	  52.17414
 82	  23.52489	  3.43259	  51.8993	  52.38292
 83	  25.22859	  1.82668	  50.78792	  51.2719
 84	  22.92959	 -0.73003	  50.55046	  51.03451
 85	  25.38158	  1.10479	  50.92533	  51.40926
 86	  26.89616	  0.53899	  51.70962	  52.1933
 87	  28.68125	 -6.6723	  51.84566	  52.3293
 88	  26.25799	 -0.23959	  51.67966	  52.16336
 89	  23.60278	  5.58038	  50.9364	  51.42033
 90	  21.30377	  3.02368	  50.69894	  51.18294
 91	  23.93621	  5.07838	  50.79596	  51.27993
 92	  26.37042	 -0.33472	  51.35809	  51.84188
 93	  28.79368	 -6.76744	  51.52408	  52.00782
 94	  28.1404	  0.16956	  51.48314	  51.96689
 95	  26.46865	 -0.5244	  51.07269	  51.55658
 96	  29.55095	 -8.67786	  51.28043	  51.76426
 97	  28.37152	 -0.32104	  51.12288	  51.60674
 98	  24.80277	 -4.54763	  50.75359	  51.23757
 99	  24.45565	 -3.70627	  50.63237	  51.11639
 100	  24.78806	 -3.28413	  50.70096	  51.18496
 101	  24.15076	  1.42921	  50.55341	  51.03746
 102	  22.29292	 -1.91248	  50.44506	  50.92914
 103	  22.03126	 -0.88796	  50.30568	  50.78981
 104	  22.03901	 -0.08492	  49.91349	  50.39774
 105	  22.57589	 -1.39809	  49.9529	  50.43714
 106	  24.1568	  2.23106	  50.1642	  50.64837
 107	  25.28809	  5.47605	  50.80686	  51.29082
 108	  26.07152	  3.4144	  50.83915	  51.32311
 109	  26.19692	  5.22638	  50.81377	  51.29774
 110	  25.28809	  5.47605	  50.80686	  51.29082
 111	  26.19692	  5.22638	  50.81377	  51.29774
 112	  25.72241	  5.43995	  51.06519	  51.54908
 113	  22.96574	  9.20163	  50.47067	  50.95475
 114	  27.32495	 -2.92235	  51.05762	  51.54151
 115	  22.8231	  9.08423	  50.72692	  51.21092
 116	  21.68656	  7.8568	  50.67257	  51.15658
 117	  26.1884	 -4.14977	  51.00327	  51.48717
 118	  22.76648	  5.93042	  50.18915	  50.67331
 119	  24.69048	  5.91479	  51.32589	  51.8097
 120	  26.01044	  2.677	  51.28346	  51.76728
 121	  25.80803	  2.53225	  51.55328	  52.03702
 122	  26.01044	  2.677	  51.28346	  51.76728
 123	  24.69048	  5.91479	  51.32589	  51.8097
 124	  25.09393	  5.45211	  51.09653	  51.58041
 125	  26.01044	  2.677	  51.28346	  51.76728
 126	  25.09393	  5.45211	  51.09653	  51.58041
 127	  25.98428	  3.00437	  51.17623	  51.66008
 128	  25.09393	  5.45211	  51.09653	  51.58041
 129	  25.3184	  5.02059	  51.04042	  51.52431
 130	  25.98428	  3.00437	  51.17623	  51.66008
 131	  25.48356	  2.95373	  51.71747	  52.20115
 132	  24.59321	  5.40146	  51.63778	  52.12148
 133	  24.56705	  5.72883	  51.53054	  52.01428
 134	  24.59321	  5.40146	  51.63778	  52.12148
 135	  25.48356	  2.95373	  51.71747	  52.20115
 136	  25.25909	  3.38523	  51.77359	  52.25725
 137	  24.06837	  6.62576	  51.60251	  52.08623
 138	  24.64833	  7.57507	  51.45892	  51.94268
 139	  24.92967	  6.22775	  51.56567	  52.0494
